<CHAPTER	RgFwOr	<CHAPTER
ID=1>	RgFwOr	<unknown>
Έγκριση	NoCmFeSgNm	έγκριση
των	AtDfFePlGe	ο
συνοπτικών	AjBaFePlGe	συνοπτικός
πρακτικών	AjBaFePlGe	πρακτικός
της	AtDfFeSgGe	ο
προηγούμενης	AjBaFeSgGe	προηγούμενος
συνεδρίασης	NoCmFeSgGe	συνεδρίαση
<SPEAKER	RgFwOr	<SPEAKER
ID=1	DIG	ID=1
NAME="Πρόεδρος">	RgFwOr	<unknown>
.	SENT	.

Τα	AtDfNePlNm	ο
συνοπτικά	AdBa	συνοπτικά
πρακτικά	AjBaNePlNm	πρακτικός
της	AtDfFeSgGe	ο
χθεσινής	AjBaFeSgGe	χθεσινός
συνεδρίασης	NoCmFeSgGe	συνεδρίαση
έχουν	VbMnIdPr03PlIpAv	έχω
διανεμηθεί	VbMnNfPePv	διανέμω
.	SENT	.

<P>	RgFwOr	<unknown>
Υπάρχουν	VbMnIdPr03PlIpAv	υπάρχω
παρατηρήσεις	NoCmFePlNm	παρατήρηση
;	SEMICOLON	;
<SPEAKER	RgFwOr	<SPEAKER
ID=2	RgFwOr	ID=2
NAME="Nogueira	RgFwOr	<unknown>
Romαn">	RgFwOr	<unknown>
Κύριε	VbMnIdPa03SgPeAv	Κύριε
Πρόεδρε	VbMnIdPa03SgPeAv	<unknown>
,	COMMA	,
στα	AsPpPaNePlAc	στου
χθεσινά	AjBaNePlAc	χθεσινός
συνοπτικά	AdBa	συνοπτικά
πρακτικά	AjBaNePlAc	πρακτικός
θα	PtFu	θα
πρέπει	VbIsIdPr03SgIpAv	πρέπει
να	PtSj	να
έχουν	VbMnIdPr03PlIpAv	έχω
καταχωρηθεί	VbMnNfPePv	καταχωρώ
,	COMMA	,
όπως	AdBa	όπως
είναι	VbMnIdPr03SgIpPv	είμαι
φυσικό	AjBaNeSgNm	φυσικός
,	COMMA	,
ομιλίες	NoCmFePlAc	ομιλία
που	PnReFe03PlNm	που
αναφέρονται	VbMnIdPr03PlIpPv	αναφέρω
σε	AsPpSp	σε
μια	AtIdFeSgAc	ένας
λεγόμενη	AjBaFeSgAc	λεγόμενος
«	PUNCT	«
δήλωση	NoCmFeSgAc	δήλωση
του	AtDfNeSgGe	ο
Στρασβούργου	NoPrNeSgGe	Στρασβούργου
»	PUNCT	»
,	COMMA	,
που	PnReFe03SgNm	που
φιλοδοξεί	VbMnIdPr03SgIpAv	φιλοδοξώ
να	PtSj	να
εμπλέξει	VbMnId03SgPeAv	εμπλέκω
το	AtDfNeSgAc	ο
Ευρωπαϊκό	AjBaNeSgAc	ευρωπαϊκός
Κοινοβούλιο	NoCmNeSgAc	κοινοβούλιο
σε	AsPpSp	σε
μερικές	PnIdFe03PlAc	μερικοί
σκέψεις	NoCmFePlAc	σκέψη
που	PnReFe03PlNm	που
,	COMMA	,
κατά	AsPpSp	κατά
γράμμα	NoCmNeSgAc	γράμμα
,	COMMA	,
θα	PtFu	θα
οδηγούσαν	VbMnIdPa03PlIpAv	οδηγώ
στο	AsPpPaNeSgAc	στου
συμπέρασμα	NoCmNeSgAc	συμπέρασμα
ότι	CjSb	ότι
ο	AtDfMaSgNm	ο
υποφαινόμενος	AjBaMaSgNm	υποφαινόμενος
βουλευτής	NoCmMaSgNm	βουλευτής
του	AtDfNeSgGe	ο
Ευρωπαϊκού	AjBaNeSgGe	ευρωπαϊκός
Κοινοβουλίου	NoCmNeSgGe	κοινοβούλιο
είναι	VbMnIdPr03SgIpPv	είμαι
ναζιστής	NoCmMaSgNm	ναζιστής
.	SENT	.

Η	AtDfFeSgNm	ο
δήλωση	NoCmFeSgNm	δήλωση
-	HYPHEN	-
που	PnReFe03SgNm	που
,	COMMA	,
όπως	AdBa	όπως
αναφέρω	VbMnIdPr01SgIpAv	αναφέρω
,	COMMA	,
εμπλέκει	VbMnIdPr03SgIpAv	εμπλέκω
το	AtDfNeSgAc	ο
Ευρωπαϊκό	AjBaNeSgAc	ευρωπαϊκός
Κοινοβούλιο	NoCmNeSgAc	κοινοβούλιο
,	COMMA	,
παρ	AsPpSp	παρά
'	QUOT	'
όλο	AdBa	όλο
που	CjSb	που
δεν	PtNg	δεν
υπήρξε	VbMnIdPa03SgPeAv	υπάρχω
τέτοια	PnDmFe03SgAc	τέτοιος
δήλωση	NoCmFeSgAc	δήλωση
ενώπιον	AsPpSp	ενώπιον
του	AtDfNeSgGe	ο
Ευρωπαϊκού	AjBaNeSgGe	ευρωπαϊκός
Κοινοβουλίου	NoCmNeSgGe	κοινοβούλιο
-	HYPHEN	-
αποτελεί	VbMnIdPr03SgIpAv	αποτελώ
απαράδεκτο	AjBaMaSgAc	απαράδεκτος
χειρισμό	NoCmMaSgAc	χειρισμός
.	SENT	.

Ευχαριστώ	VbMnIdPr01SgIpAv	ευχαριστώ
την	AtDfFeSgAc	ο
Πρόεδρο	NoCmMaSgAc	πρόεδρος
,	COMMA	,
την	AtDfFeSgAc	ο
κ.	INIT	κ.
Fontaine	RgFwOr	Fontaine
,	COMMA	,
που	PnReFe03SgNm	που
εχθές	AjBaNeSgAc	εχθής
κιόλας	AdBa	κιόλας
πήρε	VbMnIdPa03SgPeAv	παίρνω
θέση	NoCmFeSgAc	θέση
,	COMMA	,
διαψεύδοντας	VbMnPpIpAv	διαψεύδω
την	AtDfFeSgAc	ο
εμπλοκή	NoCmFeSgAc	εμπλοκή
του	AtDfNeSgGe	ο
Σώματος	NoCmNeSgGe	σώμα
.	SENT	.

Σε	AsPpSp	σε
αυτή	PnDmFe03SgAc	αυτός
τη	AtDfFeSgAc	ο
δήλωση	NoCmFeSgAc	δήλωση
,	COMMA	,
κύριε	VbMnIdPa03SgIpAv	κύριος
Πρόεδρε	VbMnIdPa03SgPeAv	<unknown>
,	COMMA	,
πέραν	AdBa	πέραν
του	AtDfNeSgGe	ο
ότι	CjSb	ότι
γίνεται	VbMnIdPr03SgIpPv	γίνομαι
απαξιωτική	AjBaFeSgNm	απαξιωτικός
αναφορά	NoCmFeSgNm	αναφορά
με	AsPpSp	με
το	AtDfNeSgAc	ο
να	PtSj	να
αποκαλούνται	VbMnIdPr03PlIpPv	αποκαλώ
ναζιστές	NoCmMaPlAc	ναζιστής
το	AtDfNeSgAc	ο
Εθνικιστικό	AjBaNeSgAc	εθνικιστικός
Βασκικό	AjBaNeSgAc	βασκικός
Κόμμα	NoCmNeSgAc	κόμμα
,	COMMA	,
ο	AtDfMaSgNm	ο
Eusko	RgFwOr	Eusko
Alkartasuna	RgFwOr	Alkartasuna
και	CjCo	και
η	AtDfFeSgNm	ο
δημοκρατική	AjBaFeSgNm	δημοκρατικός
κυβέρνηση	NoCmFeSgNm	κυβέρνηση
της	AtDfFeSgGe	ο
Χώρας	NoCmFeSgGe	χώρα
των	AtDfMaPlGe	ο
Βάσκων	NoPrMaPlGe	βάσκος
,	COMMA	,
που	PnReMa03PlNm	που
τηρούν	VbMnIdPr03PlIpAv	τηρώ
μια	AtIdFeSgAc	ένας
στάση	NoCmFeSgAc	στάση
που	PnReFe03SgNm	που
σε	AsPpSp	σε
άλλη	PnIdFe03SgAc	άλλος
περίπτωση	NoCmFeSgAc	περίπτωση
,	COMMA	,
αυτή	PnDmFe03SgAc	αυτός
της	AtDfFeSgGe	ο
Ιρλανδίας	NoPrFeSgGe	Ιρλανδία
,	COMMA	,
βραβεύτηκε	VbMnIdPa03SgPePv	βραβεύω
μάλιστα	AdBa	μάλιστα
με	AsPpSp	με
το	AtDfNeSgAc	ο
Νόμπελ	NoCmNeSgAc	νόμπελ
Ειρήνης	NoPrFeSgGe	Ειρήνη
,	COMMA	,
καθυβρίζονται	VbMnIdPr03PlIpPv	καθυβρίζονται
εκπρόσωποι	NoCmMaPlNm	εκπρόσωπος
ευρωπαίων	NoPrMaPlGe	ευρωπαίων
πολιτών	NoCmMaPlGe	πολίτης
