<CHAPTER	NN	<CHAPTER
ID=1>	NNP	<unknown>
Adoption	NNP	Adoption
of	IN	of
the	DT	the
Minutes	NNPS	Minutes
of	IN	of
the	DT	the
previous	JJ	previous
sitting	VBG	sit
<SPEAKER	NNP	<SPEAKER
ID=1	NNP	<unknown>
NAME="President">	NNP	<unknown>
The	DT	the
Minutes	NNPS	Minutes
of	IN	of
yesterday	NN	yesterday
'	''	'
s	NNS	s
sitting	NN	sitting
have	VBP	have
been	VBN	be
distributed	VBN	distribute
.	.	.

<P>	FW	<unknown>
Are	VBP	be
there	EX	there
any	DT	any
comments	NNS	comment
?	.	?

<SPEAKER	NN	<unknown>
ID=2	NNP	<unknown>
NAME="Cox">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
I	PRP	i
respond	VBP	respond
to	TO	to
an	DT	an
invitation	NN	invitation
yesterday	NN	yesterday
afternoon	NN	afternoon
by	IN	by
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
House	NNP	House
to	TO	to
speak	VB	speak
on	IN	on
behalf	NN	behalf
of	IN	of
my	PRP$	my
group	NN	group
on	IN	on
a	DT	a
matter	NN	matter
referred	VBN	refer
to	TO	to
in	IN	in
the	DT	the
Minutes	NNPS	Minutes
.	.	.

I	PRP	i
refer	VBP	refer
to	TO	to
item	VB	item
11	CD	@card@
on	IN	on
the	DT	the
order	NN	order
of	IN	of
business	NN	business
.	.	.

<P>	NNP	<unknown>
Firstly	RB	firstly
,	,	,
I	PRP	i
believe	VBP	believe
the	DT	the
issue	NN	issue
raised	VBN	raise
by	IN	by
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
Socialist	NNP	Socialist
Group	NNP	Group
yesterday	NN	yesterday
about	IN	about
the	DT	the
reinstatement	NN	reinstatement
of	IN	of
the	DT	the
debate	NN	debate
with	IN	with
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
Commission	NNP	Commission
on	IN	on
the	DT	the
five-year	JJ	five-year
strategic	JJ	strategic
programme	NN	programme
was	VBD	be
sufficiently	RB	sufficiently
important	JJ	important
for	IN	for
other	JJ	other
speakers	NNS	speaker
who	WP	who
wished	VBD	wish
to	TO	to
comment	VB	comment
briefly	NN	briefly
on	IN	on
that	DT	that
matter	NN	matter
to	TO	to
have	VB	have
been	VBN	be
accommodated	VBN	accommodate
.	.	.

I	PRP	i
wish	VBP	wish
to	TO	to
express	VB	express
that	DT	that
view	NN	view
even	RB	even
if	IN	if
I	PRP	i
respectfully	RB	respectfully
disagreed	VBD	disagree
and	CC	and
voted	VBD	vote
against	IN	against
the	DT	the
proposal	NN	proposal
of	IN	of
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
Socialist	NNP	Socialist
Group	NNP	Group
.	.	.

<P>	IN	<unknown>
The	DT	the
second	JJ	second
point	NN	point
I	PRP	i
would	MD	would
like	VB	like
to	TO	to
make	VB	make
-	:	-
and	CC	and
which	WDT	which
I	PRP	i
would	MD	would
have	VB	have
wished	VBN	wish
to	TO	to
make	VB	make
yesterday	NN	yesterday
before	IN	before
the	DT	the
vote	NN	vote
-	:	-
is	VBZ	be
that	IN	that
this	DT	this
Parliament	NNP	Parliament
,	,	,
as	IN	as
other	JJ	other
speakers	NNS	speaker
remarked	VBD	remark
yesterday	NN	yesterday
,	,	,
can	MD	can
only	RB	only
really	RB	really
have	VB	have
an	DT	an
effect	NN	effect
if	IN	if
it	PRP	it
works	VBZ	work
in	IN	in
close	JJ	close
cooperation	NN	cooperation
and	CC	and
synergy	NN	synergy
with	IN	with
the	DT	the
European	NNP	European
Commission	NNP	Commission
.	.	.

We	PRP	we
should	MD	should
also	RB	also
have	VB	have
the	DT	the
humility	NN	humility
to	TO	to
recognise	VB	recognise
that	IN	that
,	,	,
if	IN	if
we	PRP	we
wanted	VBD	want
to	TO	to
have	VB	have
a	DT	a
strategic	JJ	strategic
debate	NN	debate
accompanied	VBN	accompany
not	RB	not
just	RB	just
by	IN	by
a	DT	a
presentation	NN	presentation
and	CC	and
elucidation	NN	elucidation
by	IN	by
the	DT	the
President	NNP	President
of	IN	of
the	DT	the
Commission	NNP	Commission
,	,	,
but	CC	but
also	RB	also
by	IN	by
a	DT	a
five-year	JJ	five-year
programme	NN	programme
,	,	,
we	PRP	we
should	MD	should
have	VB	have
the	DT	the
mechanisms	NNS	mechanism
in	IN	in
place	NN	place
more	JJR	more
than	IN	than
just	RB	just
a	DT	a
week	NN	week
in	IN	in
advance	NN	advance
of	IN	of
the	DT	the
debate	NN	debate
in	IN	in
this	DT	this
House	NNP	House
,	,	,
so	RB	so
as	IN	as
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
discuss	VB	discuss
and	CC	and
convey	VB	convey
in	IN	in
due	JJ	due
time	NN	time
to	TO	to
the	DT	the
Commission	NNP	Commission
what	WP	what
our	PRP$	our
wishes	NNS	wish
were	VBD	be
.	.	.

<P>	NNP	<unknown>
There	EX	there
is	VBZ	be
one	CD	one
basic	JJ	basic
lesson	NN	lesson
I	PRP	i
would	MD	would
like	VB	like
us	PRP	us
to	TO	to
learn	VB	learn
from	IN	from
this	DT	this
.	.	.

When	WRB	when
there	EX	there
are	VBP	be
major	JJ	major
set-piece	JJ	set-piece
debates	NNS	debate
scheduled	VBN	schedule
between	IN	between
this	DT	this
House	NNP	House
and	CC	and
the	DT	the
European	NNP	European
Commission	NNP	Commission
in	IN	in
the	DT	the
future	NN	future
,	,	,
we	PRP	we
should	MD	should
clear	VB	clear
all	DT	all
of	IN	of
our	PRP$	our
lines	NNS	line
on	IN	on
what	WP	what
are	VBP	be
our	PRP$	our
mutual	JJ	mutual
expectations	NNS	expectation
at	IN	at
least	JJS	least
one	CD	one
full	JJ	full
working	NN	working
month	NN	month
in	IN	in
advance	NN	advance
.	.	.

There	EX	there
needs	VBZ	need
firstly	RB	firstly
to	TO	to
be	VB	be
clarity	NN	clarity
between	IN	between
all	DT	all
of	IN	of
the	DT	the
groups	NNS	group
of	IN	of
this	DT	this
House	NNP	House
and	CC	and
then	RB	then
between	IN	between
this	DT	this
House	NNP	House
and	CC	and
the	DT	the
Commission	NNP	Commission
.	.	.

We	PRP	we
should	MD	should
not	RB	not
find	VB	find
ourselves	PRP	<unknown>
late	RB	late
in	IN	in
the	DT	the
day	NN	day
in	IN	in
the	DT	the
unfortunate	JJ	unfortunate
position	NN	position
where	WRB	where
the	DT	the
one	CD	one
or	CC	or
other	JJ	other
institution	NN	institution
creates	VBZ	create
an	DT	an
unnecessary	JJ	unnecessary
fracture	NN	fracture
in	IN	in
institutional	JJ	institutional
relationships	NNS	relationship
.	.	.

<P>	NNP	<unknown>
Looking	VBG	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
press	NN	press
reports	NNS	report
of	IN	of
last	JJ	last
Friday	NNP	Friday
,	,	,
I	PRP	i
believe	VBP	believe
that	IN	that
the	DT	the
Commission	NNP	Commission
and	CC	and
its	PRP$	its
President	NNP	President
exercised	VBD	exercise
commendable	JJ	commendable
self-restraint	NN	self-restraint
in	IN	in
the	DT	the
way	NN	way
they	PRP	they
commented	VBD	comment
publicly	RB	publicly
.	.	.

That	DT	that
is	VBZ	be
something	NN	something
for	IN	for
which	WDT	which
I	PRP	i
have	VBP	have
a	DT	a
deep	JJ	deep
appreciation	NN	appreciation
.	.	.

I	PRP	i
hope	VBP	hope
that	IN	that
we	PRP	we
will	MD	will
learn	VB	learn
the	DT	the
lessons	NNS	lesson
and	CC	and
not	RB	not
repeat	VB	repeat
this	DT	this
unnecessary	JJ	unnecessary
exercise	NN	exercise
which	WDT	which
I	PRP	i
believe	VBP	believe
was	VBD	be
founded	VBN	found
on	IN	on
a	DT	a
misapprehension	NN	misapprehension
as	IN	as
to	TO	to
what	WP	what
was	VBD	be
expected	VBN	expect
rather	RB	rather
than	IN	than
any	DT	any
bad	JJ	bad
faith	NN	faith
on	IN	on
the	DT	the
part	NN	part
of	IN	of
either	DT	either
of	IN	of
the	DT	the
two	CD	two
institutions	NNS	institution
.	.	.

It	PRP	it
should	MD	should
not	RB	not
be	VB	be
dramatised	VBN	dramatise
into	IN	into
something	NN	something
more	JJR	more
than	IN	than
that	DT	that
.	.	.

<P>	NNP	<unknown>
<SPEAKER	NN	<unknown>
ID=3	NNP	<unknown>
NAME="President">	NNP	<unknown>
Thank	VB	thank
you	PRP	you
very	RB	very
much	RB	much
,	,	,
Mr	NNP	Mr
Cox	NNP	Cox
.	.	.

I	PRP	i
understand	VBP	understand
what	WP	what
you	PRP	you
are	VBP	be
saying	VBG	say
.	.	.

We	PRP	we
have	VBP	have
taken	VBN	take
note	NN	note
of	IN	of
this	DT	this
.	.	.

<SPEAKER	NN	<unknown>
ID=4	NNP	<unknown>
NAME="Wynn">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
concerning	VBG	concern
item	NN	item
11	CD	@card@
of	IN	of
the	DT	the
Minutes	NNPS	Minutes
on	IN	on
the	DT	the
order	NN	order
of	IN	of
business	NN	business
,	,	,
we	PRP	we
agreed	VBD	agree
yesterday	NN	yesterday
to	TO	to
have	VB	have
the	DT	the
Bourlanges	NNPS	Bourlange
report	NN	report
on	IN	on
today	NN	today
's	POS	's
agenda	NN	agenda
.	.	.

However	RB	however
,	,	,
it	PRP	it
was	VBD	be
withdrawn	VBN	withdraw
from	IN	from
the	DT	the
Committee	NNP	Committee
on	IN	on
Budgets	NNP	Budgets
last	JJ	last
night	NN	night
without	IN	without
being	VBG	be
discussed	VBN	discuss
or	CC	or
voted	VBN	vote
on	IN	on
.	.	.

It	PRP	it
therefore	RB	therefore
needs	VBZ	need
to	TO	to
be	VB	be
withdrawn	VBN	withdraw
from	IN	from
today	NN	today
's	POS	's
agenda	NN	agenda
.	.	.

<SPEAKER	NN	<unknown>
ID=5	NNP	<unknown>
NAME="President">	NNP	<unknown>
Mr	NNP	Mr
Wynn	NNP	Wynn
,	,	,
that	WDT	that
makes	VBZ	make
sense	NN	sense
.	.	.

The	DT	the
report	NN	report
is	VBZ	be
hereby	RB	hereby
